Time (seconds), Rate (beats per minute)
0.5,52
1,53
1.5,53
2,53
2.5,53
3,57
3.5,57
4,55
4.5,55
5,54
5.5,54
6,54
6.5,54
7,54
7.5,53
8,53
8.5,53
9,53
9.5,53
10,53
10.5,53
11,53
11.5,53
12,53
12.5,53
13,53
13.5,53
14,53
14.5,53
15,53
15.5,53
16,53
16.5,53
17,53
17.5,53
18,53
18.5,53
19,53
19.5,53
20,53
20.5,53
21,53
21.5,53
22,53
22.5,53
23,56
23.5,56
24,56
24.5,56
25,57
25.5,58
26,58
26.5,58
27,58
27.5,58
28,58
28.5,58
29,58
29.5,58
30,58
30.5,58
31,58
31.5,59
32,59
32.5,59
33,59
33.5,59
34,59
34.5,59
35,56
35.5,56
36,56
36.5,54
37,54
37.5,54
38,54
38.5,54
39,54
39.5,54
40,54
40.5,53
41,53
41.5,53
42,53
42.5,53
43,53
43.5,52
44,52
44.5,52
45,52
45.5,53
46,53
46.5,53
47,53
47.5,53
48,53
48.5,52
49,52
49.5,52
50,52
50.5,52
51,52
51.5,51
52,51
52.5,51
53,51
53.5,50
54,50
54.5,50
55,50
55.5,50
56,50
56.5,50
57,50
57.5,49
58,49
58.5,49
59,50
59.5,50
60,50
60.5,50
61,50
61.5,49
62,49
62.5,49
63,49
63.5,49
64,49
64.5,49
65,49
65.5,49
66,49
66.5,49
67,49
67.5,50
68,50
68.5,50
69,50
69.5,50
70,50
70.5,50
71,51
71.5,51
72,51
72.5,51
73,51
73.5,52
74,52
74.5,52
75,52
75.5,52
76,52
76.5,53
77,53
77.5,52
78,52
78.5,52
79,52
79.5,53
80,53
80.5,53
81,53
81.5,52
82,52
82.5,52
83,52
83.5,52
84,52
84.5,52
85,52
85.5,52
86,52
86.5,52
87,52
87.5,52
88,52
88.5,51
89,51
89.5,51
90,51
90.5,51
91,51
91.5,51
92,51
92.5,51
93,51
93.5,51
94,51
94.5,51
95,51
95.5,51
96,51
96.5,51
97,51
97.5,51
98,51
98.5,51
99,51
99.5,51
100,51
100.5,51
101,51
101.5,56
102,56
102.5,56
103,56
103.5,91
104,91
104.5,94
105,94
105.5,82
106,82
106.5,82
107,63
107.5,63
108,63
108.5,59
109,59
109.5,56
110,56
110.5,56
111,56
111.5,53
112,53
112.5,52
113,52
113.5,51
114,51
114.5,51
115,51
115.5,50
116,50
116.5,50
117,50
117.5,50
118,50
118.5,50
119,50
119.5,49
120,49
120.5,49
121,49
121.5,49
122,49
122.5,49
123,49
123.5,49
